ID,Name,Type,X,Y,Width,Height,Section Link,Direct Link
2:6873,"경쟁사의 제품, 마케팅, 판매채널이 비교되어 있는가?",text,27999.19921875,11387,229.20001220703125,50,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6873","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6873&mode=design"
2:6874,"Frame 508",frame,28264.400390625,11323,269.20001220703125,139,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6874","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6874&mode=design"
2:6875,"진단1",text,28284.400390625,11348,39,19,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6875","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6875&mode=design"
2:6876,"브랜드 가치가 명확하게 이미지화 되어있는가?",text,28284.400390625,11387,229.20001220703125,50,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6876","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6876&mode=design"
2:6877,"Frame 509",frame,28549.599609375,11323,269.20001220703125,139,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6877","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6877&mode=design"
2:6878,"진단1",text,28569.599609375,11348,39,19,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6878","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6878&mode=design"
2:6879,"구매를 하기 위한 경로는 확보되어 있는가?",text,28569.599609375,11387,229.20001220703125,50,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6879","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6879&mode=design"
2:6880,"Frame 510",frame,28834.80078125,11323,269.20001220703125,139,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6880","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6880&mode=design"
2:6881,"진단1",text,28854.80078125,11348,39,19,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6881","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6881&mode=design"
2:6882,"목표 매출액 및 마케팅 전략을 구축 되어 있는가?",text,28854.80078125,11387,229.20001220703125,50,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6882","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6882&mode=design"
